Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Derek Brunson,185.0,185.0,196.0,23.0,8.0,0.0,3.51,47,3.05,51,3.14,33,85,0.6,39.0,21,-2,False,False,False,True,False
Rafael Alves,173.0,155.0,173.0,20.0,11.0,0.0,1.85,48,3.3,58,0.29,25,44,1.5,33.0,4,-2,False,True,False,False,False
Leonardo Morales,173.0,135.0,173.0,6.0,1.0,0.0,2.05,47,2.05,58,0.0,0,62,0.0,31.0,2,-2,False,False,False,True,False
Tonya Evinger,170.0,135.0,178.0,19.0,7.0,0.0,1.16,42,4.02,38,0.93,30,33,0.9,42.0,3,-3,False,True,False,False,False
Josh Bryant,178.0,185.0,178.0,15.0,3.0,0.0,1.1,20,6.1,43,0.0,0,0,0.0,43.0,1,-1,False,True,False,False,False
Jamie Moyle,155.0,115.0,165.0,4.0,2.0,0.0,4.51,51,4.0,65,1.0,21,50,0.0,34.0,3,-2,False,True,False,False,False
Dominick Cruz,173.0,135.0,173.0,24.0,3.0,0.0,3.91,33,2.61,70,2.82,42,83,0.1,38.0,10,-1,False,True,False,False,False
Mark Weir,188.0,185.0,188.0,21.0,17.0,1.0,1.54,56,2.5,38,0.8,50,25,2.4,56.0,3,-2,False,False,False,True,False
Dustin Ortiz,165.0,125.0,165.0,19.0,7.0,0.0,2.94,44,2.17,56,3.01,36,52,0.1,35.0,14,-1,False,True,False,False,False
Fernando Bruno,168.0,145.0,168.0,15.0,3.0,0.0,1.75,39,1.78,48,2.02,22,56,0.5,41.0,2,-2,False,True,False,False,False
Maki Pitolo,178.0,185.0,190.0,13.0,8.0,0.0,4.1,44,3.93,55,2.24,52,50,0.8,33.0,6,-4,False,True,False,False,False
Leo Kuntz,178.0,155.0,178.0,18.0,3.0,1.0,1.68,32,3.8,45,1.99,25,33,0.7,40.0,2,-2,False,True,False,False,False
Ismail Naurdiev,178.0,170.0,188.0,19.0,3.0,0.0,3.17,52,1.3,68,1.25,71,70,0.2,27.0,4,-1,False,True,False,False,False
Liliya Shakirova,163.0,125.0,165.0,8.0,1.0,0.0,2.7,30,2.58,74,0.0,0,0,0.0,32.0,1,-1,False,True,False,False,False
Luiz Dutra,180.0,170.0,180.0,13.0,5.0,1.0,3.92,50,4.8,41,0.0,0,100,0.0,41.0,2,-2,False,True,False,False,False
Laverne Clark,180.0,170.0,180.0,27.0,20.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,50.0,4,-1,False,True,False,False,False
Harry Moskowitz,196.0,275.0,196.0,6.0,11.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,2,-2,False,True,False,False,False
Jake O'Brien,190.0,205.0,193.0,15.0,3.0,0.0,1.31,31,1.92,69,6.39,54,25,0.2,39.0,7,-1,False,True,False,False,False
Hector Sandoval,157.0,125.0,163.0,14.0,3.0,0.0,3.31,52,2.33,65,3.49,25,71,1.4,37.0,4,-1,False,True,False,False,False
Justin Tafa,183.0,264.0,188.0,5.0,3.0,0.0,5.09,54,5.95,49,0.0,0,100,0.0,30.0,6,2,False,False,False,True,False
Cory Hendricks,190.0,205.0,190.0,3.0,0.0,0.0,3.13,39,4.07,42,0.0,0,100,0.0,35.0,1,-1,False,True,False,False,False
Enrique Marin,178.0,170.0,178.0,10.0,3.0,0.0,1.43,33,3.0,50,2.5,38,60,1.0,37.0,2,-2,False,True,False,False,False
Reza Nasri,180.0,205.0,180.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Raquel Pennington,170.0,135.0,170.0,14.0,9.0,0.0,4.02,50,3.34,62,0.93,27,63,0.6,35.0,17,5,False,True,False,False,False
Brok Weaver,183.0,155.0,185.0,15.0,5.0,0.0,4.78,64,4.35,46,0.41,10,66,0.4,32.0,3,-2,False,False,False,True,False
Anthony Ivy,188.0,185.0,188.0,8.0,3.0,0.0,2.5,42,4.57,51,4.69,20,100,0.0,33.0,2,-2,False,True,False,False,False
Forrest Petz,175.0,170.0,180.0,26.0,9.0,0.0,2.27,29,2.2,57,1.3,100,66,0.0,48.0,7,-3,False,True,False,False,False
Fernie Garcia,170.0,135.0,170.0,10.0,2.0,0.0,2.18,39,2.83,54,0.47,50,61,0.5,31.0,2,-2,False,True,False,False,False
Papy Abedi,180.0,185.0,180.0,10.0,3.0,0.0,2.8,55,3.15,48,3.47,57,50,1.3,45.0,4,-1,False,False,False,True,False
Carla Esparza,155.0,115.0,160.0,20.0,6.0,0.0,2.16,40,2.69,55,3.22,35,47,0.3,36.0,15,-1,False,True,False,False,False
Rudyard Moncayo,178.0,195.0,178.0,0.0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Rodolfo Vieira,183.0,185.0,185.0,8.0,2.0,0.0,3.36,54,4.84,48,3.7,26,100,1.4,34.0,6,1,False,True,False,False,False
Ray Rodriguez,170.0,135.0,178.0,16.0,7.0,0.0,0.9,27,3.89,40,1.42,50,44,0.0,36.0,2,-2,False,True,False,False,False
Nasrat Haqparast,178.0,155.0,183.0,13.0,5.0,0.0,5.06,44,4.72,65,0.36,30,78,0.0,28.0,10,1,False,False,False,True,False
Phil Baroni,175.0,170.0,183.0,15.0,17.0,0.0,2.77,45,3.93,40,1.46,47,60,0.5,47.0,10,-6,False,True,False,False,False
Sam Hoger,188.0,205.0,188.0,10.0,3.0,0.0,1.07,25,2.25,57,1.12,38,29,1.3,43.0,5,-2,False,True,False,False,False
Jordan Griffin,178.0,145.0,185.0,18.0,8.0,0.0,2.52,46,3.02,50,1.45,35,42,1.9,33.0,5,-2,False,False,False,True,False
Nina Nunes,165.0,125.0,163.0,10.0,7.0,0.0,4.39,45,3.47,55,0.24,33,73,0.5,38.0,9,1,False,True,False,False,False
Rousimar Palhares,173.0,170.0,180.0,18.0,8.0,0.0,1.75,51,2.04,59,3.93,45,0,4.1,43.0,12,1,False,True,False,False,False
Deron Winn,168.0,185.0,178.0,7.0,2.0,0.0,4.55,44,6.21,46,4.28,52,40,0.0,34.0,5,-1,False,True,False,False,False
Chris Liguori,175.0,185.0,175.0,15.0,9.0,0.0,0.29,33,1.44,0,0.0,0,50,0.0,37.0,1,-1,False,True,False,False,False
Patrick Walsh,180.0,185.0,180.0,10.0,2.0,0.0,2.03,19,2.83,64,3.0,54,100,1.5,35.0,2,-1,False,True,False,False,False
Willie Gates,173.0,125.0,183.0,12.0,6.0,0.0,1.8,38,4.28,38,0.0,0,67,0.4,36.0,4,-2,False,True,False,False,False
Jesus Pinedo,178.0,155.0,178.0,16.0,4.0,1.0,3.23,38,4.37,52,2.5,100,100,0.0,27.0,2,-1,False,False,False,True,False
Jeff Hughes,188.0,250.0,196.0,10.0,3.0,0.0,3.95,51,3.67,60,0.71,50,45,0.0,35.0,3,-3,False,True,False,False,False
Shane Carwin,188.0,265.0,203.0,12.0,1.0,0.0,4.38,47,3.53,53,1.42,33,42,0.0,48.0,6,-2,False,True,False,False,False
Mike Wilkinson,170.0,145.0,168.0,9.0,3.0,0.0,2.35,38,3.7,35,0.92,14,55,0.9,36.0,4,-1,False,True,False,False,False
Jonathan Pearce,183.0,145.0,180.0,13.0,4.0,0.0,6.11,55,3.66,55,5.74,56,59,0.8,31.0,6,5,False,False,False,False,True
Court McGee,180.0,170.0,190.0,22.0,11.0,0.0,4.63,37,3.68,60,1.89,25,69,0.4,39.0,21,-2,False,True,False,False,False
Rafael Fiziev,173.0,155.0,180.0,12.0,1.0,0.0,5.06,51,5.17,48,0.31,40,90,0.0,30.0,8,-1,False,False,False,False,True
Curtis Millender,188.0,170.0,193.0,17.0,4.0,0.0,3.86,46,2.95,61,0.43,100,57,0.0,36.0,5,-2,False,True,False,False,False
Darren Till,183.0,185.0,188.0,18.0,4.0,1.0,2.3,46,3.31,56,0.55,46,69,0.0,31.0,11,-3,False,False,False,True,False
Marcin Bandel,178.0,155.0,178.0,15.0,6.0,0.0,0.79,50,5.26,23,0.0,0,0,0.0,34.0,2,-2,False,True,False,False,False
Gilbert Aldana,185.0,250.0,185.0,6.0,1.0,0.0,2.91,54,6.26,26,2.57,40,33,0.0,46.0,2,-2,False,True,False,False,False
Alexandre Ferreira,170.0,205.0,170.0,18.0,5.0,0.0,2.57,60,8.14,42,0.0,0,0,0.0,44.0,1,-1,False,True,False,False,False
Inoue Mizuki,160.0,125.0,165.0,14.0,5.0,0.0,5.0,50,6.87,48,0.0,0,66,0.0,29.0,2,-1,False,True,False,False,False
Todd Duffee,190.0,260.0,198.0,9.0,2.0,0.0,5.93,37,2.87,56,0.72,25,90,0.0,38.0,5,-1,False,True,False,False,False
Nate Loughran,188.0,185.0,188.0,11.0,1.0,0.0,1.81,40,4.11,59,0.0,0,0,2.1,43.0,2,-1,False,True,False,False,False
Andrew Holbrook,180.0,155.0,178.0,12.0,2.0,0.0,2.2,49,3.0,54,0.85,18,10,2.1,37.0,5,-2,False,False,False,True,False
Holly Holm,173.0,135.0,175.0,14.0,6.0,0.0,3.17,40,2.77,56,0.92,31,78,0.1,42.0,14,1,False,False,False,True,False
Steve Berger,180.0,170.0,180.0,21.0,22.0,2.0,1.0,27,3.26,36,0.84,40,16,1.7,50.0,2,-2,False,True,False,False,False
Natalia Silva,163.0,125.0,165.0,14.0,5.0,1.0,5.47,53,1.9,66,1.02,33,92,0.0,26.0,3,3,False,False,False,True,False
Delson Heleno,180.0,185.0,180.0,29.0,9.0,0.0,0.69,75,4.83,19,0.0,0,0,0.0,46.0,1,-1,False,True,False,False,False
Justine Kish,165.0,125.0,163.0,7.0,3.0,0.0,4.51,48,4.59,57,0.87,33,50,0.1,35.0,7,-2,False,True,False,False,False
Abu Azaitar,175.0,185.0,193.0,14.0,2.0,1.0,5.21,44,5.35,50,0.5,25,40,0.0,37.0,2,-1,False,True,False,False,False
Emily Kagan,160.0,115.0,160.0,3.0,2.0,0.0,2.6,36,5.29,38,1.86,14,50,0.0,42.0,2,-2,False,True,False,False,False
Allan Zuniga,170.0,155.0,178.0,13.0,0.0,0.0,3.93,52,1.8,61,0.0,0,57,1.0,31.0,1,-1,False,True,False,False,False
Andy Enz,190.0,185.0,198.0,10.0,3.0,0.0,3.51,23,5.32,57,0.0,0,58,0.0,32.0,3,-3,False,True,False,False,False
Gabriel Gonzaga,188.0,242.0,193.0,17.0,10.0,0.0,2.12,45,2.94,57,2.8,39,66,1.1,44.0,22,-1,False,True,False,False,False
Patrick Williams,173.0,135.0,185.0,8.0,5.0,0.0,4.12,51,4.12,52,2.71,41,100,0.5,42.0,4,-2,False,True,False,False,False
Brian Johnston,190.0,230.0,190.0,5.0,4.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,4,-2,False,True,False,False,False
Nah-Shon Burrell,180.0,170.0,180.0,15.0,6.0,0.0,4.83,47,3.45,56,0.0,0,52,0.3,33.0,2,-1,False,True,False,False,False
Rich Franklin,185.0,185.0,193.0,29.0,6.0,0.0,4.1,44,2.07,62,1.31,66,63,0.7,49.0,20,-1,False,False,False,True,False
Luana Pinheiro,157.0,115.0,157.0,10.0,1.0,0.0,3.86,39,3.67,63,2.83,50,50,0.4,31.0,3,3,False,True,False,False,False
Azamat Gashimov,168.0,125.0,168.0,8.0,2.0,0.0,1.24,21,4.75,53,1.69,25,0,0.0,33.0,2,-2,False,True,False,False,False
Silvana Gomez Juarez,160.0,115.0,165.0,11.0,4.0,0.0,4.26,32,4.04,61,0.0,0,30,0.0,39.0,4,-1,False,True,False,False,False
Antoni Hardonk,193.0,245.0,198.0,8.0,5.0,0.0,3.4,61,3.07,46,0.0,0,40,0.9,47.0,8,-2,False,True,False,False,False
Justin Wren,188.0,265.0,188.0,13.0,1.0,0.0,3.43,35,2.07,64,0.0,0,100,0.0,36.0,1,-1,False,True,False,False,False
Alexandre Pantoja,165.0,125.0,170.0,24.0,5.0,0.0,4.25,48,3.38,54,1.37,40,67,1.2,33.0,12,3,False,True,False,False,False
Steve Cantwell,188.0,185.0,190.0,7.0,5.0,0.0,3.63,34,5.76,55,0.65,30,80,0.7,37.0,6,-5,False,True,False,False,False
Royce Alger,178.0,199.0,178.0,3.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,2,-2,False,True,False,False,False
John Phillips,180.0,185.0,190.0,22.0,10.0,0.0,1.72,34,4.03,49,0.0,0,7,0.0,38.0,6,-2,False,False,False,True,False
Francisco Prado,178.0,155.0,175.0,11.0,0.0,0.0,1.87,37,3.93,43,0.0,0,25,1.0,21.0,1,-1,False,True,False,False,False
Jan Blachowicz,188.0,205.0,198.0,28.0,9.0,1.0,3.41,49,2.81,54,0.97,53,68,0.2,40.0,18,1,False,True,False,False,False
Eiji Mitsuoka,170.0,145.0,170.0,18.0,8.0,2.0,1.49,49,2.26,45,2.3,36,20,1.6,47.0,2,-2,False,False,False,True,False
John Howard,170.0,170.0,183.0,24.0,12.0,0.0,2.15,50,3.08,51,2.7,49,53,0.4,40.0,14,-1,False,True,False,False,False
David Velasquez,165.0,145.0,165.0,10.0,9.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Tom Gallicchio,178.0,170.0,178.0,19.0,9.0,0.0,3.53,26,7.07,43,1.0,11,0,0.0,37.0,1,-1,False,False,False,True,False
David Branch,185.0,185.0,198.0,22.0,5.0,0.0,1.66,39,1.91,56,2.55,32,43,0.0,42.0,9,-2,False,True,False,False,False
Jared Papazian,173.0,135.0,170.0,20.0,12.0,0.0,3.33,39,3.81,44,0.0,0,50,0.0,35.0,3,-3,False,False,False,True,False
Jessica Rakoczy,170.0,115.0,170.0,1.0,4.0,0.0,2.5,44,3.55,64,0.75,20,0,0.8,46.0,2,-2,False,True,False,False,False
Jorge Masvidal,180.0,170.0,188.0,35.0,16.0,0.0,4.05,47,3.05,64,1.38,59,72,0.3,39.0,22,-4,False,True,False,False,False
Mads Burnell,173.0,145.0,175.0,9.0,2.0,0.0,1.28,41,2.71,51,3.45,47,22,0.4,29.0,3,-1,False,True,False,False,False
Luis Henrique,188.0,243.0,188.0,10.0,4.0,0.0,1.81,43,2.22,47,3.09,36,50,1.0,30.0,6,-3,False,True,False,False,False
James Irvin,188.0,205.0,190.0,17.0,9.0,0.0,2.03,48,3.86,35,0.0,0,36,0.5,45.0,10,-3,False,True,False,False,False
Elias Garcia,165.0,125.0,170.0,6.0,1.0,0.0,1.59,27,5.05,50,0.68,14,33,1.4,31.0,2,-2,False,False,False,True,False
Marcin Wrzosek,175.0,155.0,175.0,12.0,3.0,0.0,3.47,43,4.07,43,3.0,25,33,0.0,36.0,1,-1,False,True,False,False,False
Tafon Nchukwi,183.0,205.0,196.0,6.0,2.0,0.0,6.05,52,4.03,55,0.94,57,71,0.0,29.0,5,-2,False,True,False,False,False
Derrick Krantz,178.0,170.0,183.0,22.0,11.0,0.0,2.07,37,4.03,50,3.18,50,0,0.8,35.0,2,-2,False,True,False,False,False
Trevin Jones,170.0,135.0,178.0,13.0,9.0,0.0,2.13,37,4.29,39,0.62,15,60,0.2,33.0,5,-4,False,False,False,True,False
Andre Winner,180.0,155.0,185.0,21.0,10.0,2.0,2.52,33,4.57,51,0.0,0,74,0.0,42.0,6,-3,False,True,False,False,False
Impa Kasanganay,180.0,170.0,190.0,9.0,1.0,0.0,4.96,48,3.66,58,1.75,58,66,0.2,29.0,4,-1,False,True,False,False,False
Riki Fukuda,183.0,185.0,185.0,24.0,8.0,0.0,4.24,43,3.71,64,2.17,43,70,0.0,42.0,5,-1,False,False,False,True,False
Jimi Manuwa,185.0,205.0,201.0,17.0,5.0,0.0,3.43,54,3.97,49,0.53,18,70,0.4,43.0,12,-4,False,True,False,False,False
Roan Carneiro,180.0,170.0,193.0,21.0,10.0,0.0,1.46,46,1.82,62,3.05,42,83,1.4,45.0,9,-1,False,True,False,False,False
Wilson Reis,163.0,125.0,165.0,23.0,9.0,0.0,1.83,29,3.04,55,5.15,42,47,0.6,38.0,13,-1,False,False,False,True,False
Dricus Du Plessis,185.0,185.0,193.0,18.0,2.0,0.0,6.72,55,3.73,53,2.83,47,50,1.3,29.0,5,5,False,False,False,False,True
Nick Maximov,183.0,185.0,193.0,8.0,1.0,0.0,1.93,45,2.64,46,4.16,45,35,0.2,26.0,4,-2,False,False,False,True,False
Wade Shipp,190.0,245.0,190.0,11.0,4.0,0.0,4.29,86,2.14,0,0.0,0,75,0.0,48.0,1,-1,False,True,False,False,False
Alexander Gustafsson,196.0,205.0,201.0,18.0,7.0,0.0,4.03,40,3.53,51,1.53,39,83,0.4,36.0,18,-4,False,True,False,False,False
Jose Maria,165.0,125.0,165.0,37.0,6.0,0.0,3.2,53,3.98,52,2.32,27,33,2.3,41.0,2,-2,False,True,False,False,False
Mark Striegl,173.0,145.0,178.0,18.0,3.0,0.0,1.4,45,4.07,40,0.0,0,66,0.0,35.0,2,-2,False,False,False,True,False
Brodie Farber,185.0,170.0,185.0,16.0,6.0,0.0,1.69,45,2.17,53,0.9,50,20,0.9,43.0,2,-2,False,True,False,False,False
Leonardo Guimaraes,183.0,185.0,183.0,11.0,4.0,0.0,2.35,56,2.99,44,0.0,0,52,1.0,41.0,2,-2,False,True,False,False,False
Solomon Hutcherson,180.0,185.0,180.0,11.0,6.0,0.0,2.59,39,2.59,64,3.53,100,0,0.0,51.0,1,-1,False,False,False,True,False
Stefan Sekulic,183.0,170.0,190.0,12.0,3.0,0.0,1.83,50,2.83,64,2.0,33,25,0.5,31.0,2,-2,False,False,False,True,False
Eldo Xavier Dias,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,59.0,1,-1,False,True,False,False,False
Irina Alekseeva,173.0,135.0,170.0,4.0,1.0,0.0,8.24,40,4.12,62,0.0,0,0,6.9,33.0,1,1,False,True,False,False,False
Brad Blackburn,178.0,170.0,185.0,18.0,12.0,1.0,4.55,35,3.59,65,0.93,50,76,0.7,46.0,5,-2,False,True,False,False,False
Tatsuya Kawajiri,170.0,145.0,175.0,36.0,10.0,2.0,2.04,44,2.01,50,3.63,48,63,1.1,45.0,6,-2,False,True,False,False,False
Darren Uyenoyama,168.0,125.0,165.0,10.0,5.0,0.0,1.34,39,2.21,66,1.42,33,35,0.7,44.0,4,-2,False,True,False,False,False
Ronys Torres,170.0,155.0,170.0,35.0,4.0,0.0,0.87,26,1.93,57,4.0,47,16,0.5,48.0,2,-2,False,True,False,False,False
Kamaru Usman,183.0,170.0,193.0,20.0,2.0,0.0,4.46,52,2.75,54,2.96,45,97,0.1,36.0,17,-2,False,False,False,False,True
Kyle Nelson,180.0,145.0,180.0,13.0,5.0,1.0,3.06,45,4.52,48,1.37,22,71,0.8,32.0,6,1,False,False,False,False,True
Hector Ramirez,183.0,205.0,183.0,10.0,5.0,1.0,2.27,41,4.6,56,2.3,55,66,0.5,47.0,2,-2,False,True,False,False,False
Daniel Kelly,183.0,185.0,178.0,13.0,3.0,0.0,3.62,38,4.64,61,1.86,34,78,0.3,46.0,10,-3,False,False,False,True,False
Mizuto Hirota,170.0,155.0,170.0,18.0,9.0,2.0,3.36,40,3.5,54,1.36,50,58,0.1,42.0,6,-3,False,True,False,False,False
Jimmie Rivera,163.0,135.0,173.0,23.0,4.0,0.0,4.03,40,3.9,60,0.88,27,92,0.1,34.0,11,-1,False,True,False,False,False
Chris Gruetzemacher,173.0,155.0,173.0,15.0,4.0,0.0,6.18,57,4.96,52,0.21,50,65,0.0,37.0,7,-1,False,True,False,False,False
Zane Frazier,196.0,250.0,196.0,4.0,10.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
John Alessio,178.0,155.0,183.0,35.0,16.0,0.0,2.1,39,2.91,54,1.85,38,70,1.2,44.0,5,-5,False,True,False,False,False
Assuerio Silva,178.0,241.0,178.0,16.0,7.0,0.0,1.42,46,4.2,54,2.66,34,25,1.8,49.0,3,-3,False,True,False,False,False
Steven Siler,180.0,145.0,178.0,29.0,15.0,0.0,3.21,41,2.96,54,0.47,21,55,1.6,36.0,9,-3,False,True,False,False,False
Kazuki Tokudome,180.0,155.0,185.0,18.0,6.0,1.0,2.26,41,3.63,53,2.0,38,78,0.0,36.0,4,-3,False,False,False,True,False
Claudia Gadelha,163.0,115.0,160.0,18.0,4.0,0.0,3.31,41,4.57,57,3.03,42,58,0.7,35.0,12,-1,False,True,False,False,False
Sergio Moraes,183.0,170.0,183.0,14.0,5.0,1.0,2.42,42,3.73,59,1.2,38,75,0.4,41.0,13,-3,False,True,False,False,False
Jin Soo Son,168.0,135.0,175.0,9.0,3.0,0.0,5.1,36,7.63,52,1.5,25,100,0.0,30.0,2,-2,False,True,False,False,False
Bojan Velickovic,183.0,170.0,193.0,15.0,5.0,1.0,2.18,34,2.31,57,0.67,25,55,0.5,35.0,5,-2,False,False,False,True,False
Xavier Foupa-Pokam,185.0,185.0,185.0,32.0,21.0,0.0,1.47,43,2.5,49,0.0,0,16,0.0,41.0,2,-2,True,False,False,False,False
Jeff Molina,168.0,125.0,175.0,10.0,2.0,0.0,7.25,48,5.04,55,0.0,0,66,0.0,26.0,2,2,False,True,False,False,False
Justin Levens,180.0,185.0,180.0,10.0,6.0,0.0,1.24,47,3.15,37,1.69,50,33,5.1,43.0,2,-2,False,True,False,False,False
Mike Wessel,183.0,260.0,183.0,15.0,7.0,0.0,1.82,56,6.43,22,6.29,50,0,0.0,46.0,1,-1,False,True,False,False,False
Chris Curtis,178.0,185.0,190.0,30.0,9.0,0.0,5.36,50,6.3,54,0.0,0,92,0.0,36.0,6,-1,False,True,False,False,False
Nate Landwehr,175.0,145.0,183.0,17.0,4.0,0.0,6.14,46,5.58,55,1.07,41,86,1.1,35.0,7,-1,False,True,False,False,False
Mike van Arsdale,188.0,205.0,188.0,8.0,4.0,0.0,1.52,41,1.91,41,1.06,14,37,0.0,58.0,4,-2,False,False,False,False,True
Courtney Turner,188.0,170.0,188.0,0.0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Mickael Lebout,180.0,155.0,185.0,16.0,6.0,1.0,2.6,34,2.98,54,0.0,0,60,0.0,36.0,3,-1,False,True,False,False,False
Nick Ring,183.0,185.0,188.0,14.0,3.0,0.0,3.52,42,3.48,62,1.36,36,52,0.3,44.0,6,-2,False,False,False,True,False
Josh Grispi,180.0,145.0,188.0,14.0,4.0,0.0,1.44,41,3.71,50,1.97,36,16,2.2,35.0,4,-4,False,True,False,False,False
Albert Tumenov,180.0,170.0,185.0,18.0,3.0,0.0,3.76,42,3.34,58,0.2,20,75,0.0,32.0,8,-2,False,True,False,False,False
Marcin Held,175.0,155.0,180.0,22.0,7.0,0.0,1.41,34,2.02,47,2.46,46,37,1.3,31.0,4,1,False,True,False,False,False
Da Woon Jung,193.0,205.0,198.0,15.0,3.0,1.0,3.39,42,3.53,52,2.1,50,80,0.2,30.0,6,-2,False,True,False,False,False
Jared Gooden,183.0,170.0,196.0,22.0,8.0,0.0,4.73,47,6.76,48,0.49,100,68,0.0,30.0,5,-2,False,True,False,False,False
Khalid Taha,165.0,135.0,175.0,13.0,4.0,0.0,2.64,32,4.12,46,0.0,0,61,0.2,31.0,5,-3,False,True,False,False,False
Ricky Rainey,185.0,170.0,196.0,12.0,5.0,0.0,2.55,48,2.62,46,0.95,18,55,0.0,40.0,2,-2,False,False,False,False,True
Lewis Gonzalez,178.0,170.0,178.0,11.0,2.0,0.0,1.4,37,1.87,41,2.0,33,62,0.0,36.0,1,-1,False,True,False,False,False
Mike Rio,178.0,155.0,178.0,10.0,4.0,0.0,1.68,39,2.99,53,2.58,27,0,1.0,42.0,4,-3,False,True,False,False,False
Vaughan Lee,168.0,125.0,168.0,14.0,12.0,1.0,3.47,47,2.07,70,0.81,33,72,1.0,41.0,8,-2,False,True,False,False,False
David Roberts,185.0,170.0,185.0,5.0,7.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,48.0,1,-1,False,True,False,False,False
Nazareno Malegarie,173.0,155.0,173.0,28.0,3.0,0.0,3.87,34,3.27,69,1.0,33,0,0.0,37.0,1,-1,False,True,False,False,False
Renan Barao,168.0,145.0,178.0,34.0,8.0,0.0,3.78,36,3.9,57,1.49,41,91,0.5,36.0,17,-5,False,True,False,False,False
Justin Buchholz,183.0,155.0,185.0,15.0,9.0,0.0,2.35,26,4.14,51,0.0,0,33,0.8,40.0,5,-3,False,True,False,False,False
Nik Lentz,173.0,145.0,173.0,30.0,11.0,2.0,3.44,47,3.25,50,3.3,32,43,1.2,39.0,23,-3,False,True,False,False,False
Antonio Silva,193.0,264.0,208.0,19.0,11.0,1.0,2.89,45,3.09,50,0.82,29,66,0.8,44.0,10,-3,False,True,False,False,False
Matt Mitrione,190.0,265.0,208.0,12.0,4.0,0.0,3.55,50,2.79,64,0.0,0,55,0.7,45.0,14,-2,False,False,False,False,True
Bill Mahood,190.0,200.0,190.0,20.0,6.0,1.0,1.54,85,3.59,17,0.0,0,0,3.9,56.0,1,-1,False,True,False,False,False
Jordan Mein,183.0,170.0,185.0,30.0,12.0,0.0,3.35,44,2.55,69,1.56,58,66,0.2,34.0,9,2,False,True,False,False,False
Isaac Vallie-Flagg,173.0,155.0,178.0,16.0,6.0,1.0,5.56,47,5.6,45,0.2,12,58,0.0,45.0,4,-3,False,True,False,False,False
JP Buys,165.0,125.0,170.0,9.0,4.0,0.0,1.89,44,3.02,39,1.65,26,25,2.5,27.0,3,-3,False,True,False,False,False
Zviad Lazishvili,168.0,135.0,175.0,13.0,0.0,0.0,4.2,39,6.13,51,0.0,0,0,0.0,32.0,1,-1,False,True,False,False,False
Shonie Carter,178.0,170.0,178.0,51.0,30.0,7.0,1.62,36,2.32,47,0.75,66,75,0.0,51.0,6,-3,False,False,False,True,False
Amanda Nunes,173.0,135.0,175.0,22.0,5.0,0.0,4.55,51,2.62,57,2.73,54,82,0.7,35.0,18,2,False,True,False,False,False
Brendan Loughnane,178.0,145.0,178.0,17.0,2.0,0.0,6.23,63,6.7,53,1.5,30,92,0.0,34.0,1,-1,False,False,False,False,True
Tiago dos Santos e Silva,175.0,145.0,178.0,20.0,6.0,2.0,3.69,35,4.23,59,0.63,11,33,0.3,36.0,4,-1,False,True,False,False,False
Jose Torres,163.0,125.0,165.0,8.0,0.0,0.0,4.37,36,9.84,50,1.28,33,75,0.0,31.0,2,-1,False,True,False,False,False
Luke Rockhold,190.0,185.0,196.0,16.0,5.0,0.0,4.1,49,2.68,53,0.7,29,65,1.0,39.0,11,-3,False,False,False,True,False
Michael Morales,183.0,170.0,201.0,13.0,0.0,0.0,5.36,51,4.1,40,1.98,40,86,0.0,24.0,2,2,False,True,False,False,False
DaMarques Johnson,185.0,170.0,190.0,15.0,14.0,0.0,2.11,37,3.75,51,1.18,55,19,0.7,41.0,10,-3,False,True,False,False,False
Marcos Mariano,185.0,155.0,193.0,6.0,5.0,0.0,0.25,27,2.11,43,0.0,0,28,0.0,37.0,2,-2,False,False,False,False,True
Jon Jones,193.0,205.0,213.0,26.0,1.0,0.0,4.29,57,2.22,64,1.93,45,95,0.5,36.0,22,18,False,True,False,False,False
Brett Johns,170.0,135.0,180.0,16.0,2.0,0.0,2.86,49,3.84,53,4.92,49,58,1.0,31.0,7,2,False,True,False,False,False
Julio Paulino,183.0,170.0,183.0,23.0,4.0,0.0,0.97,27,1.87,48,0.0,0,37,0.5,48.0,2,-2,False,True,False,False,False
Jake Matthews,180.0,170.0,185.0,18.0,5.0,0.0,3.09,44,2.24,61,1.78,41,60,0.6,29.0,17,-1,False,True,False,False,False
