Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Elvis Sinosic,190.0,205.0,196.0,7.0,10.0,2.0,1.13,37,4.6,53,0.0,0,0,1.2,52.0,7,-6,False,True,False,False,False
Lance Gibson,175.0,185.0,175.0,4.0,4.0,0.0,1.21,75,6.44,20,0.0,0,0,0.0,53.0,2,-1,False,True,False,False,False
Steven Graham,185.0,290.0,185.0,1.0,1.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,1,False,True,False,False,False
Ailin Perez,165.0,145.0,168.0,7.0,1.0,0.0,1.62,47,1.52,31,1.52,33,71,0.0,29.0,1,-1,False,False,False,False,True
Makhmud Muradov,188.0,185.0,190.0,25.0,7.0,0.0,4.35,42,2.72,60,0.7,37,76,0.2,33.0,5,-2,False,True,False,False,False
Alvaro Herrera Mendoza,183.0,155.0,188.0,9.0,5.0,0.0,1.89,38,3.4,55,0.0,0,33,1.1,33.0,4,-3,False,True,False,False,False
Eddie Ruiz,170.0,155.0,170.0,1.0,0.0,0.0,0.2,25,1.4,47,2.0,12,0,0.0,56.0,1,-1,False,True,False,False,False
Iasmin Lucindo,160.0,125.0,168.0,13.0,5.0,0.0,3.97,39,3.83,68,2.0,57,0,0.0,21.0,2,1,False,True,False,False,False
Daniel Rodriguez,185.0,170.0,188.0,17.0,3.0,0.0,7.3,50,5.28,56,0.62,50,63,0.1,37.0,10,-2,False,False,False,True,False
Makwan Amirkhani,178.0,145.0,183.0,17.0,8.0,0.0,1.33,44,2.98,46,3.96,43,35,1.1,35.0,14,-2,False,False,False,True,False
Loma Lookboonmee,155.0,115.0,155.0,7.0,3.0,0.0,4.14,58,2.58,52,2.04,50,74,0.2,27.0,7,2,False,True,False,False,False
Kevin Holland,190.0,170.0,206.0,23.0,9.0,0.0,4.12,52,2.98,52,0.84,41,50,0.5,31.0,17,1,False,True,False,False,False
Igor Pokrajac,183.0,205.0,188.0,28.0,12.0,0.0,2.25,45,4.26,40,0.87,29,51,0.2,44.0,12,-5,False,True,False,False,False
